NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N),Ruido (dBA)
4.0,20.0,12.0,67.0,16.0,64.0,26.0,85.0,1024.0,459.0,1.0,,,,18.0,
6.0,20.0,13.0,70.0,16.0,61.0,29.0,88.0,1024.0,336.0,1.0,,,,19.0,
5.0,24.0,14.0,71.0,16.0,66.0,32.0,111.0,1024.0,182.0,1.0,,,,28.0,
8.0,41.0,13.0,60.0,15.0,71.0,53.0,125.0,1024.0,27.0,1.0,,,,35.0,
36.0,108.0,9.0,26.0,13.0,79.0,163.0,209.0,1024.0,4.0,1.0,,,,49.0,
70.0,167.0,7.0,4.0,12.0,85.0,274.0,257.0,1024.0,3.0,1.0,,,,59.0,
71.0,118.0,7.0,4.0,10.0,90.0,226.0,319.0,1024.0,2.0,1.0,,,,62.0,
18.0,95.0,8.0,12.0,9.0,94.0,122.0,314.0,1024.0,3.0,1.0,,,,36.0,
6.0,51.0,9.0,33.0,10.0,95.0,60.0,301.0,1023.0,2.0,1.0,,,,24.0,
5.0,41.0,10.0,29.0,9.0,95.0,49.0,288.0,1023.0,2.0,1.0,,,,18.0,
4.0,20.0,13.0,46.0,9.0,97.0,27.0,290.0,1022.0,2.0,1.0,,,,18.0,
5.0,16.0,16.0,47.0,9.0,96.0,23.0,291.0,1022.0,2.0,1.0,,,,14.0,
5.0,14.0,15.0,45.0,8.0,95.0,22.0,299.0,1021.0,1.0,1.0,,,,12.0,
4.0,15.0,12.0,46.0,8.0,92.0,22.0,298.0,1020.0,2.0,1.0,,,,12.0,
4.0,16.0,11.0,43.0,8.0,88.0,23.0,299.0,1020.0,3.0,1.0,,,,10.0,
4.0,16.0,11.0,43.0,8.0,82.0,23.0,296.0,1019.0,3.0,1.0,,,,10.0,
4.0,17.0,10.0,43.0,8.0,78.0,23.0,299.0,1018.0,4.0,1.0,,,,9.0,
10.0,36.0,12.0,38.0,9.0,73.0,52.0,304.0,1017.0,3.0,1.0,,,,14.0,
16.0,60.0,14.0,27.0,9.0,71.0,84.0,271.0,1017.0,8.0,1.0,,,,26.0,
16.0,66.0,14.0,32.0,11.0,59.0,90.0,297.0,1017.0,26.0,1.0,,,,49.0,
8.0,35.0,14.0,61.0,14.0,43.0,47.0,309.0,1017.0,40.0,1.0,,,,38.0,
6.0,31.0,13.0,60.0,14.0,48.0,40.0,331.0,1017.0,41.0,2.0,,,,22.0,
9.0,42.0,11.0,56.0,14.0,50.0,56.0,321.0,1016.0,118.0,1.0,,,,18.0,
7.0,31.0,12.0,62.0,16.0,50.0,41.0,191.0,1015.0,198.0,1.0,,,,15.0,
11.0,42.0,9.0,61.0,17.0,45.0,58.0,295.0,1013.0,124.0,1.0,,,,19.0,
15.0,71.0,11.0,42.0,16.0,50.0,94.0,315.0,1012.0,60.0,1.0,,,,31.0,
25.0,104.0,10.0,23.0,16.0,54.0,142.0,218.0,1012.0,51.0,1.0,,,,55.0,
9.0,54.0,9.0,49.0,16.0,49.0,67.0,311.0,1013.0,28.0,2.0,,,,37.0,
7.0,33.0,11.0,60.0,16.0,46.0,43.0,329.0,1012.0,3.0,3.0,,,,26.0,
6.0,30.0,8.0,58.0,15.0,48.0,40.0,331.0,1012.0,2.0,2.0,,,,27.0,
7.0,26.0,12.0,59.0,15.0,49.0,36.0,330.0,1012.0,2.0,3.0,,,,19.0,
